Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador ,British Columbia
Cod," 101,419 "," 6,747 "," 3,093 "," 19,094 "," 179,570 "," 11,910 "
Haddock," 20,854 ", 9 , 0 , 2 ," 1,093 ", -   
Redfish," 31,500 "," 3,751 "," 12,467 "," 16,166 "," 28,803 "," 23,422 "
Halibut," 1,425 ", 29 , 1 , 205 , 376 ," 4,310 "
Flatfishes," 14,910 "," 1,762 "," 2,106 "," 2,880 "," 42,642 "," 7,891 "
Greenland turbot," 4,585 ", 142 , -   ," 1,586 "," 13,587 "," 2,287 "
Pollock," 37,575 "," 1,285 ", 1 , 4 ," 1,906 "," 2,580 "
Hake," 60,331 ", 631 ," 1,541 ", 425 ," 1,429 "," 99,055 "
Cusk," 4,419 ", 0 , -   , -   , 0 , -   
Catfish, 592 , 2 , 0 , 53 , 739 , -   
Skate," 1,112 ", -   , -   , 1 , 22 , 248 
Dogfish, 163 , 0 , 1 , 141 , 2 ," 3,128 "
Herring," 91,319 "," 67,943 "," 7,542 "," 3,940 "," 46,001 "," 39,741 "
Mackerel," 8,119 "," 2,225 "," 3,922 "," 3,256 "," 8,377 ", -   
Swordfish," 1,028 ", -   , -   , -   , 0 , -   
Tuna, 427 , -   , 8 , -   , 114 , 143 
Alewife," 2,151 "," 5,324 ", 87 , -   , -   , -   
Eel, 74 , 218 , 127 , 425 , 134 , -   
Salmon, -   , -   , 0 , 38 , 452 ," 85,679 "
Smelt, 56 , 813 , 158 , 171 , 43 , 0 
Capelin, -   , 64 , -   , 241 ," 49,872 ", -   
Clams/quahaug," 4,931 "," 1,419 "," 1,280 ", 580 ," 4,522 "," 4,887 "
Oyster, 33 , 685 ," 1,184 ", -   , -   , -   
Scallop," 69,929 "," 4,916 ", 823 ," 2,525 "," 1,403 ", 82 
Squid, 893 , -   , 0 , -   ," 1,729 ", 116 
Mussel, 2 , 46 ," 3,489 ", 60 , 56 , -   
Lobster," 23,569 "," 8,039 "," 10,275 "," 3,493 "," 3,075 ", -   
Shrimp," 5,899 "," 3,355 ", -   ," 9,514 "," 21,858 "," 4,226 "
"Crab, Queen"," 3,798 "," 6,194 "," 1,056 "," 7,982 "," 16,276 ", -   
"Crab, Other", 38 , 468 , 591 , 3 , -   ," 1,887 "
Sea urchin, 16 , 278 , -   , 7 , -   ," 7,576 "
Seafish/Shellfish," 494,425 "," 116,552 "," 49,924 "," 73,845 "," 424,945 "," 311,405 "
,,,,,,
